Entry Number,Region,Gender,Speaker Label,Word,Vowel,Class ID,Time,F1,F2,F3
31,eyk_001,female,edc001,Heed,IY,1,1.276566,355.0335956,2717.432329,3022.594336
32,eyk_001,female,edc001,had,AE,2,3.687412,974.5484898,1639.715985,2728.550315
33,eyk_001,female,edc001,hood,UH,3,10.156198,554.8651922,1201.242183,2670.824345
34,eyk_001,female,hxc001,Heed,IY,1,1.405855,308.4187884,3062.474497,3271.265125
35,eyk_001,female,hxc001,had,AE,2,3.947885,1065.936013,1764.45947,2882.416887
36,eyk_001,female,hxc001,hood,UH,3,10.404339,581.7081716,1562.141373,2899.994136
37,eyk_001,female,jat001,Heed,IY,1,1.288014,339.2065478,2734.913989,3162.254797
38,eyk_001,female,jat001,had,AE,2,3.492282,920.2443402,1788.190553,2723.287879
39,eyk_001,female,jat001,hood,UH,3,8.960535,400.1233354,928.6790742,3085.264276
40,eyk_001,female,jfj001,Heed,IY,1,1.208149,409.9029268,2941.306156,3516.093871
41,eyk_001,female,jfj001,had,AE,2,4.809423,983.3900842,1815.470061,2897.608452
42,eyk_001,female,jfj001,hood,UH,3,15.332327,434.2064374,1153.018891,2666.366409
43,eyk_001,female,sjf001,Heed,IY,1,1.862989,413.4370686,2527.709846,3018.093093
44,eyk_001,female,sjf001,had,AE,2,4.633313,950.4982912,1584.010185,2731.431735
45,eyk_001,female,sjf001,hood,UH,3,7.873942,582.696972,1400.869637,2952.869117
46,eyk_001,male,ajt001,Heed,IY,1,3.092384,303.768698,2270.082846,2882.57334
47,eyk_001,male,ajt001,had,AE,2,5.889129,804.0616934,1443.686486,2599.863223
48,eyk_001,male,ajt001,hood,UH,3,14.489237,318.4475398,1040.80691,2535.624785
49,eyk_001,male,axc001,Heed,IY,1,1.068429,197.5871988,2377.120855,3052.05308
50,eyk_001,male,axc001,had,AE,2,2.577569,828.7108202,1587.622275,2455.997629
51,eyk_001,male,axc001,hood,UH,3,6.441323,544.8093096,1306.970218,2715.888076
52,eyk_001,male,ccw001,Heed,IY,1,1.674067,301.441821,2563.642881,3096.712525
53,eyk_001,male,ccw001,had,AE,2,3.518037,749.8720806,1402.442332,2701.325756
54,eyk_001,male,ccw001,hood,UH,3,8.048224,470.1647014,1340.237154,2508.568806
55,eyk_001,male,dps001,Heed,IY,1,1.029391,294.7641276,2140.9587,2658.852091
56,eyk_001,male,dps001,had,AE,2,3.775916,872.6836582,1476.291594,2064.812812
57,eyk_001,male,dps001,hood,UH,3,11.440258,885.018431,1997.88363,3241.850773
58,eyk_001,male,dwc001,Heed,IY,1,1.363378,275.315838,2442.418567,2736.895079
59,eyk_001,male,dwc001,had,AE,2,3.424064,782.8182424,1436.491164,2359.305636
60,eyk_001,male,dwc001,hood,UH,3,7.603077,390.9168952,1264.247758,2835.091896
61,gla_001,female,aud001,Heed,IY,1,2.062814,334.931624,2854.242944,3416.366144
62,gla_001,female,aud001,had,AE,2,3.540964,963.350789,1658.622778,3127.752306
63,gla_001,female,aud001,hood,UH,3,8.072502,571.6924844,1849.438448,2796.505087
64,gla_001,female,fmb001,Heed,IY,1,0.71587,303.2492604,2832.576657,3317.587055
65,gla_001,female,fmb001,had,AE,2,2.108238,812.033546,1790.921906,3051.505017
66,gla_001,female,fmb001,hood,UH,3,5.813619,442.885109,2020.521152,2996.269285
67,gla_001,female,jec001,Heed,IY,1,0.991522,311.0833064,2865.540749,3320.681287
68,gla_001,female,jec001,had,AE,2,3.650587,918.31643,1640.556067,2663.766019
69,gla_001,female,jec001,hood,UH,3,8.681527,418.5084158,2107.384007,2788.128345
70,gla_001,female,joh001,Heed,IY,1,1.505804,359.1236502,2662.845165,3117.860308
71,gla_001,female,joh001,had,AE,2,3.925686,889.4486968,1517.947297,2821.312324
72,gla_001,female,joh001,hood,UH,3,9.06166,504.2347708,1859.846943,2592.098203
73,gla_001,female,kam001,Heed,IY,1,0.511004,341.2730528,2947.504411,3173.341807
74,gla_001,female,kam001,had,AE,2,2.624239,914.8314968,1743.56724,2797.848442
75,gla_001,female,kam001,hood,UH,3,8.27767,405.5149956,2026.40889,2771.679245
76,gla_001,male,gty001,Heed,IY,1,1.197383,280.1676212,2151.631097,3057.526282
77,gla_001,male,gty001,had,AE,2,3.74242,737.6525576,1398.917521,2762.621957
78,gla_001,male,gty001,hood,UH,3,9.789087,473.4762576,1824.919587,2633.308879
79,gla_001,male,iwd001,Heed,IY,1,0.700311,1923.798598,2957.457467,3550.706738
80,gla_001,male,iwd001,had,AE,2,2.780373,916.5826974,1473.025891,2765.736458
81,gla_001,male,iwd001,hood,UH,3,7.150484,814.3253616,2018.195357,2766.932916
82,gla_001,male,jmc002,Heed,IY,1,0.586619,303.817285,2551.820589,3086.186911
83,gla_001,male,jmc002,had,AE,2,2.119854,754.4158016,1326.737173,2749.566126
84,gla_001,male,jmc002,hood,UH,3,10.919721,1259.937242,2224.906665,3187.129566
85,gla_001,male,ljg001,Heed,IY,1,0.832698,321.8360272,2497.13932,2992.88143
86,gla_001,male,ljg001,had,AE,2,3.109765,810.2450488,1389.981742,2501.970436
87,gla_001,male,ljg001,hood,UH,3,7.368633,429.1633166,1700.515295,2600.750852
88,gla_001,male,rac001,Heed,IY,1,1.957724,2513.502111,3127.204025,4028.29201
89,gla_001,male,rac001,had,AE,2,4.875317,927.6099676,1440.141655,2567.674029
90,gla_001,male,rac001,hood,UH,3,9.023218,1587.601411,2495.605633,3310.424839
91,ncl_001,female,ext001,Heed,IY,1,1.366409,324.830756,2766.079076,3405.239822
92,ncl_001,female,ext001,had,AE,2,3.928352,923.887907,1474.654891,2873.257423
93,ncl_001,female,ext001,hood,UH,3,9.667998,439.1445662,900.8716854,2568.764196
94,ncl_001,female,jxh002,Heed,IY,1,1.04453,319.8797184,2556.314437,3002.680047
95,ncl_001,female,jxh002,had,AE,2,4.845823,1019.88043,1463.861038,2465.525086
96,ncl_001,female,jxh002,hood,UH,3,13.173504,528.0898266,730.7344618,2759.263633
97,ncl_001,female,kjb001,Heed,IY,1,1.227921,300.4626818,2732.384536,2876.477569
98,ncl_001,female,kjb001,had,AE,2,2.840682,918.7309308,1452.082677,2567.4606
99,ncl_001,female,kjb001,hood,UH,3,6.751064,724.0462814,2652.496899,3681.038814
100,ncl_001,female,law001,Heed,IY,1,0.754437,307.4686806,2801.689088,3238.930525
101,ncl_001,female,law001,had,AE,2,2.120194,926.5753558,1651.734241,2532.442502
102,ncl_001,female,law001,hood,UH,3,6.460459,345.2784462,1579.022893,2660.552848
103,ncl_001,female,mlg001,Heed,IY,1,1.225955,339.4476764,2782.947687,3267.508868
104,ncl_001,female,mlg001,had,AE,2,3.973813,1087.498322,1600.983176,3080.848227
105,ncl_001,female,mlg001,hood,UH,3,9.906716,393.8726902,997.5777024,2889.227659
106,ncl_001,male,dxc001,Heed,IY,1,1.019391,1440.558629,2622.230906,3181.953346
107,ncl_001,male,dxc001,had,AE,2,3.198125,747.5517632,1239.677687,2552.567693
108,ncl_001,male,dxc001,hood,UH,3,6.967829,654.7917614,2767.573252,3173.298495
109,ncl_001,male,ggc001,Heed,IY,1,3.474331,286.5987528,2360.662117,2697.997172
110,ncl_001,male,ggc001,had,AE,2,6.117526,818.655824,1293.479257,2500.19623
111,ncl_001,male,ggc001,hood,UH,3,12.73484,619.9492452,769.1470354,2642.969797
112,ncl_001,male,jon001,Heed,IY,1,1.113643,1358.484189,2222.619341,2834.182922
113,ncl_001,male,jon001,had,AE,2,4.750437,796.509956,1255.004935,2413.64585
114,ncl_001,male,jon001,hood,UH,3,11.975533,519.5855312,1723.292371,3132.976713
115,ncl_001,male,jxb001,Heed,IY,1,2.151795,2282.679235,2839.364765,3217.457134
116,ncl_001,male,jxb001,had,AE,2,4.600579,803.6298588,1242.411805,2795.908348
117,ncl_001,male,jxb001,hood,UH,3,10.734509,826.9549366,2326.862868,3235.421298
118,ncl_001,male,jxm001,Heed,IY,1,4.62164,264.5708288,2483.831941,3126.987333
119,ncl_001,male,jxm001,had,AE,2,6.980139,760.8706284,1415.659709,2539.628957
120,ncl_001,male,jxm001,hood,UH,3,12.512888,830.8765352,2500.303602,3079.755253
121,nwa_001,female,aaj002,Heed,IY,1,10.828008,408.2763622,2635.56501,3024.758301
122,nwa_001,female,aaj002,had,AE,2,13.013739,1010.491029,1611.067057,2902.733843
123,nwa_001,female,aaj002,hood,UH,3,19.309962,686.472781,801.1342306,3106.931279
124,nwa_001,female,acl001,Heed,IY,1,0.763579,322.6533154,2845.850055,3232.071533
125,nwa_001,female,acl001,had,AE,2,2.693965,894.4418192,1385.388605,2723.959677
126,nwa_001,female,acl001,hood,UH,3,7.292764,473.8134444,1018.528453,2951.513373
127,nwa_001,female,bea001,Heed,IY,1,1.949776,291.5154092,2900.136435,3199.259444
128,nwa_001,female,bea001,had,AE,2,4.519795,978.8524364,1554.673674,2862.571065
129,nwa_001,female,bea001,hood,UH,3,11.919535,495.5660794,1150.833406,3043.544395
130,nwa_001,female,bej001,Heed,IY,1,1.213573,385.533999,2893.576064,3403.758163
131,nwa_001,female,bej001,had,AE,2,2.799491,893.8861984,1589.797912,2877.907116
132,nwa_001,female,bej001,hood,UH,3,8.053479,573.13333,1158.732794,2834.469586
133,nwa_001,female,ehl001,Heed,IY,1,0.648662,523.1200364,2977.272062,3478.859513
134,nwa_001,female,ehl001,had,AE,2,2.69604,1098.567844,1574.192082,2968.503443
135,nwa_001,female,ehl001,hood,UH,3,6.959325,698.8577762,1551.626205,2696.477904
136,nwa_001,male,cpr001,Heed,IY,1,0.851481,249.2490668,2378.787372,3226.448203
137,nwa_001,male,cpr001,had,AE,2,2.390244,939.560904,1322.161686,2552.495431
138,nwa_001,male,cpr001,hood,UH,3,6.509443,1060.583865,2509.91729,3166.611117
139,nwa_001,male,cse001,Heed,IY,1,1.902378,254.73908,2281.707081,2730.745948
140,nwa_001,male,cse001,had,AE,2,4.129768,789.7491114,1386.773405,2501.526635
141,nwa_001,male,cse001,hood,UH,3,9.763486,429.6267364,1095.408218,2348.103692
142,nwa_001,male,dro001,Heed,IY,1,1.074169,2338.594713,2931.417632,3649.382454
143,nwa_001,male,dro001,had,AE,2,4.37884,770.4375782,1273.958889,2184.51145
144,nwa_001,male,dro001,hood,UH,3,11.857779,933.298741,2771.376038,3392.827081
145,nwa_001,male,exj001,Heed,IY,1,1.330893,257.0841446,2493.23003,2990.319685
146,nwa_001,male,exj001,had,AE,2,3.665953,880.52935,1460.202366,2425.886567
147,nwa_001,male,exj001,hood,UH,3,9.06564,790.8416074,2878.640157,3742.643756
148,nwa_001,male,ixr001,Heed,IY,1,0.911372,550.007871,1962.811363,2976.351314
149,nwa_001,male,ixr001,had,AE,2,3.379543,865.3929408,1391.308395,2506.187843
150,nwa_001,male,ixr001,hood,UH,3,8.474883,571.305412,1050.318815,3016.100165
